iter	Passed	Remaining
398	3007	4530
399	3010	4516
400	3012	4499
401	3013	4482
402	3014	4466
403	3016	4450
404	3017	4433
405	3018	4416
406	3019	4399
407	3020	4382
408	3021	4366
409	3025	4353
410	3026	4337
411	3028	4321
412	3029	4305
413	3030	4288
414	3030	4272
415	3031	4256
416	3032	4240
417	3033	4223
418	3034	4207
419	3035	4191
420	3036	4176
421	3037	4160
422	3040	4147
423	3041	4132
424	3043	4117
425	3044	4102
426	3045	4086
427	3046	4070
428	3047	4055
429	3047	4040
430	3048	4025
431	3049	4009
432	3050	3994
433	3051	3979
434	3052	3964
435	3058	3956
436	3059	3942
437	3060	3927
438	3061	3912
439	3062	3897
440	3063	3883
441	3064	3868
442	3065	3854
443	3066	3839
444	3066	3825
445	3067	3810
446	3072	3800
447	3073	3787
448	3074	3773
449	3075	3758
450	3076	3744
451	3077	3730
452	3078	3716
453	3078	3702
454	3079	3689
455	3080	3675
456	3081	3661
457	3082	3648
458	3088	3640
459	3089	3627
460	3090	3613
461	3091	3600
462	3092	3586
463	3093	3573
464	3094	3560
465	3095	3547
466	3096	3533
467	3097	3520
468	3098	3507
469	3101	3497
470	3103	3485
471	3104	3473
472	3105	3460
473	3106	3447
474	3107	3434
475	3108	3422
476	3109	3409
477	3110	3396
478	3111	3384
479	3112	3372
480	3118	3364
481	3119	3352
482	3120	3339
483	3121	3327
484	3122	3315
485	3123	3302
486	3123	3290
487	3124	3278
488	3125	3266
489	3126	3254
490	3127	3242
491	3128	3230
492	3131	3220
493	3132	3208
494	3134	3197
495	3135	3185
496	3135	3173
497	3136	3162
498	3137	3150
499	3138	3138
500	3139	3127
501	3140	3115
502	3141	3104
503	3142	3092
504	3147	3084
505	3149	3074
506	3150	3063
507	3151	3051
508	3152	3040
509	3153	3029
510	3154	3018
511	3154	3006
512	3156	2996
513	3156	2984
514	3157	2973
515	3161	2965
516	3162	2954
517	3164	2944
518	3165	2933
519	3166	2922
520	3166	2911
521	3167	2900
522	3168	2890
523	3169	2879
524	3170	2868
525	3171	2858
526	3172	2847
527	3177	2840
528	3179	2830
529	3180	2820
530	3180	2809
531	3181	2799
532	3182	2788
533	3183	2778
534	3184	2768
535	3185	2757
536	3186	2747
537	3187	2737
538	3189	2727
539	3191	2718
540	3192	2708
541	3193	2698
542	3194	2688
543	3195	2678
544	3196	2669
545	3198	2659
546	3199	2649
547	3200	2639
548	3201	2629
549	3202	2620
550	3204	2611
551	3205	2601
552	3206	2591
553	3207	2581
554	3207	2572
555	3209	2562
556	3210	2553
557	3211	2543
558	3211	2533
559	3212	2524
560	3213	2514
561	3214	2505
562	3217	2497
563	3219	2488
564	3220	2479
565	3221	2469
566	3222	2460
567	3223	2451
568	3224	2442
569	3225	2433
570	3226	2423
571	3227	2414
572	3228	2405
573	3229	2396
574	3236	2392
575	3237	2383
576	3238	2374
577	3240	2365
578	3240	2356
579	3241	2347
580	3242	2338
581	3243	2329
582	3244	2320
583	3248	2314
584	3250	2305
585	3251	2296
586	3252	2288
587	3253	2279
588	3254	2270
589	3255	2262
590	3256	2253
591	3257	2244
592	3257	2236
593	3258	2227
594	3259	2218
595	3263	2212
596	3265	2204
597	3266	2195
598	3267	2187
599	3268	2178
600	3269	2170
601	3269	2161
602	3270	2153
603	3271	2145
604	3272	2136
605	3273	2128
606	3276	2121
607	3278	2113
608	3280	2106
609	3281	2097
610	3282	2089
611	3283	2081
612	3284	2073
613	3285	2065
614	3285	2057
615	3286	2048
616	3287	2040
617	3288	2032
618	3289	2024
619	3293	2018
620	3295	2011
621	3296	2003
622	3297	1995
623	3298	1987
624	3299	1979
625	3300	1971
626	3301	1964
627	3302	1956
628	3303	1948
629	3307	1942
630	3308	1934
631	3309	1927
632	3310	1919
633	3311	1911
634	3312	1904
635	3313	1896
636	3314	1888
637	3315	1881
638	3316	1873
639	3317	1866
640	3318	1858
641	3319	1851
642	3322	1844
643	3324	1837
644	3325	1830
645	3326	1822
646	3326	1815
647	3327	1807
648	3328	1800
649	3329	1792
650	3330	1785
651	3331	1778
652	3332	1770
653	3336	1765
654	3338	1758
655	3339	1751
656	3340	1743
657	3341	1736
658	3342	1729
659	3343	1722
660	3344	1715
661	3345	1707
662	3346	1700
663	3347	1693
664	3350	1687
665	3353	1681
666	3354	1674
667	3355	1667
668	3356	1660
669	3357	1653
670	3358	1646
671	3359	1639
672	3360	1632
673	3361	1626
674	3365	1620
675	3366	1613
676	3367	1606
677	3368	1599
678	3369	1592
679	3370	1585
680	3371	1579
681	3372	1572
682	3373	1565
683	3374	1558
684	3376	1552
685	3379	1546
686	3382	1540
687	3384	1534
688	3408	1538
689	3415	1534
690	3417	1528
691	3418	1521
692	3420	1515
693	3422	1509
694	3423	1502
695	3430	1498
696	3431	1491
697	3433	1485
698	3435	1479
699	3436	1472
700	3438	1466
701	3439	1460
702	3444	1455
703	3446	1449
704	3448	1442
705	3467	1443
706	3468	1437
707	3470	1431
708	3476	1426
709	3478	1420
710	3479	1414
711	3482	1408
712	3484	1402
713	3486	1396
714	3490	1391
715	3493	1385
716	3495	1379
717	3498	1374
718	3500	1367
719	3505	1363
720	3507	1357
721	3509	1351
722	3524	1350
723	3526	1344
724	3528	1338
725	3529	1332
726	3531	1326
727	3533	1320
728	3540	1316
729	3542	1310
730	3544	1304
731	3546	1298
732	3547	1292
